,2021,2020,2019,2018,2022
intangibleAssets,1021800000.0,479300000.0,194100000.0,215200000.0,
capitalSurplus,1933600000.0,1830700000.0,1709100000.0,1681400000.0,
totalLiab,8007500000.0,5917900000.0,5708800000.0,4644500000.0,
totalStockholderEquity,2389600000.0,1027800000.0,404200000.0,1617500000.0,
minorityInterest,304500000.0,319000000.0,,,
otherCurrentLiab,1011600000.0,738300000.0,643400000.0,629900000.0,
totalAssets,10701600000.0,7264700000.0,6113000000.0,6262000000.0,
commonStock,181400000.0,181400000.0,181400000.0,181400000.0,
otherCurrentAssets,178000000.0,147500000.0,173300000.0,149300000.0,
retainedEarnings,8000400000.0,7139800000.0,6440200000.0,6198100000.0,
otherLiab,1227200000.0,1857700000.0,1815600000.0,1158400000.0,
goodWill,3625900000.0,1650300000.0,1071100000.0,1075500000.0,
treasuryStock,-7725800000.0,-8124100000.0,-7926500000.0,-6443400000.0,
otherAssets,667400000.0,578500000.0,488700000.0,275800000.0,
cash,662200000.0,704600000.0,1018400000.0,618800000.0,
totalCurrentLiabilities,2992200000.0,1810800000.0,1936800000.0,2236900000.0,
deferredLongTermAssetCharges,380900000.0,415600000.0,364100000.0,179600000.0,
otherStockholderEquity,-1017100000.0,-1614200000.0,-1488000000.0,-941900000.0,
propertyPlantEquipment,959600000.0,917300000.0,571900000.0,576800000.0,
totalCurrentAssets,3063400000.0,2685800000.0,2985700000.0,2830700000.0,
longTermInvestments,1363500000.0,953500000.0,801500000.0,1288000000.0,
netTangibleAssets,-2258100000.0,-1101800000.0,-861000000.0,326800000.0,
shortTermInvestments,600000.0,600000.0,39600000.0,290900000.0,
netReceivables,1424500000.0,1249100000.0,1178700000.0,1190100000.0,
longTermDebt,3464600000.0,1974700000.0,1956400000.0,1249200000.0,
inventory,798100000.0,584000000.0,575700000.0,581600000.0,
accountsPayable,889800000.0,687800000.0,694600000.0,713400000.0,
shortLongTermDebt,,,300500000.0,,
researchDevelopment,,,,,
effectOfAccountingCharges,,,,,
incomeBeforeTax,1526200000,1136100000,901000000,,1073600000
netIncome,1358100000,1023400000,695800000,,932200000
sellingGeneralAdministrative,1745300000,1515800000,1528800000,,1770500000
grossProfit,2897700000,2595200000,2900100000,,3102000000
ebit,1152400000,1079400000,1371300000,,1331500000
operatingIncome,1152400000,1079400000,1371300000,,1331500000
otherOperatingExpenses,,,,,
interestExpense,-94600000,-103500000,-98200000,,-123200000
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,181900000,112900000,205200000,,154500000
totalRevenue,6997400000,6329800000,6694800000,,7760400000
totalOperatingExpenses,5845000000,5250400000,5323500000,,6428900000
costOfRevenue,4099700000,3734600000,3794700000,,4658400000
totalOtherIncomeExpenseNet,373800000,56700000,-470300000,,-257900000
discontinuedOperations,,,,,
netIncomeFromContinuingOps,1344300000,1023200000,695800000,,919100000
netIncomeApplicableToCommonShares,1356000000,1022400000,695100000,,929300000
investments,-13000000,33200000,374000000,-35500000.0,
changeToLiabilities,289200000,38300000,26600000,80100000.0,
totalCashflowsFromInvestingActivities,-2626600000,-618000000,225000000,-170400000.0,
netBorrowings,1970400000,-277100000,436600000,-49400000.0,
totalCashFromFinancingActivities,1297800000,-798900000,-985900000,-1888900000.0,
changeToOperatingActivities,159400000,-4800000,-47000000,37000000.0,
issuanceOfStock,154600000,214400000,47400000,81800000.0,
changeInCash,-51000000,-288000000,399600000,-792100000.0,
repurchaseOfStock,-299700000,-264200000,-1009000000,-1482300000.0,
effectOfExchangeRate,16800000,8400000,-21500000,-32800000.0,
totalCashFromOperatingActivities,1261000000,1120500000,1182000000,1300000000.0,
depreciation,177900000,162500000,141800000,152800000.0,
otherCashflowsFromInvestingActivities,-5200000,-1300000,-1300000,-1300000.0,
dividendsPaid,-497100000,-472800000,-459800000,-440800000.0,
changeToInventory,-202800000,30400000,-4900000,-37400000.0,
changeToAccountReceivables,-138100000,-9000000,-10400000,-91700000.0,
otherCashflowsFromFinancingActivities,-30400000,800000,-1100000,1800000.0,
changeToNetincome,-451800000,-118700000,388500000,185200000.0,
capitalExpenditures,-120300000,-113900000,-132800000,-125500000.0,
